iter	MAE
0	45.30114149
1	41.49114266
2	38.10876661
3	35.39008374
4	32.7951284
5	30.78202074
6	28.82886313
7	27.14704922
8	25.60367629
9	24.15521544
10	22.92667813
11	21.86412542
12	20.89315247
13	20.05197385
14	19.32667322
15	18.6651853
16	17.95641916
17	17.30876135
18	16.83936473
19	16.35105507
20	15.91790037
21	15.52657054
22	15.13743862
23	14.91087503
24	14.62753339
25	14.31930656
26	14.05956788
27	13.87993165
28	13.60900331
29	13.40085621
30	13.23171869
31	13.08854859
32	12.98261058
33	12.79888085
34	12.70344676
35	12.57015688
36	12.47505754
37	12.42981378
38	12.3884659
39	12.3033348
40	12.24203822
41	12.1523605
42	12.12261792
43	12.04964263
44	11.97753044
45	11.91830035
46	11.82954162
47	11.77248195
48	11.71102233
49	11.66104071
50	11.61130884
51	11.54124447
52	11.48184347
53	11.45305494
54	11.39930439
55	11.35100185
56	11.29997522
57	11.24239768
58	11.22646281
59	11.17537366
60	11.11904295
61	11.07750155
62	11.01704804
63	10.98995609
64	10.94906577
65	10.92316197
66	10.87048021
67	10.81146104
68	10.77299782
69	10.74800737
70	10.70878195
71	10.68707839
72	10.67242906
73	10.64587135
74	10.61952635
75	10.58999358
76	10.57278286
77	10.54050996
78	10.5203658
79	10.50871145
80	10.47378341
81	10.4369298
82	10.41165065
83	10.37418147
84	10.35621577
85	10.31878312
86	10.30416566
87	10.27290713
88	10.25585773
89	10.24111887
90	10.21424806
91	10.1995566
92	10.18806508
93	10.18087065
94	10.15079742
95	10.13191865
96	10.11116089
97	10.09340979
98	10.06259369
99	10.04040852
100	10.02149046
101	10.00745428
102	9.998995772
103	9.966100846
104	9.951232254
105	9.932783302
106	9.90796338
107	9.872885692
108	9.851204008
109	9.832853239
110	9.824723994
111	9.816248604
112	9.79747167
113	9.784736931
114	9.753974649
115	9.734798689
116	9.703902009
117	9.672285663
118	9.647726692
119	9.638378437
120	9.631210385
121	9.61296473
122	9.594581142
123	9.587155218
124	9.56923167
125	9.560709242
126	9.53850664
127	9.526639585
128	9.513142149
129	9.48314068
130	9.455965471
131	9.434909325
132	9.425531361
133	9.420005107
134	9.410138936
135	9.395771735
136	9.380641145
137	9.366959819
138	9.355370104
139	9.341716714
140	9.32736101
141	9.301832499
142	9.287418373
143	9.274611147
144	9.247757443
145	9.241171157
146	9.225485476
147	9.212082661
148	9.199428738
149	9.179643403
150	9.173735557
151	9.153404305
152	9.137693524
153	9.12991041
154	9.1246234
155	9.114481934
156	9.103077948
157	9.088898211
158	9.068365397
159	9.06344427
160	9.049856447
161	9.045074863
162	9.04250871
163	9.03369195
164	9.02283595
165	9.010027636
166	8.998523286
167	8.989896745
168	8.976072894
169	8.971573959
170	8.959873988
171	8.947095168
172	8.936852368
173	8.930755088
174	8.913749334
175	8.904911776
176	8.887920699
177	8.875982618
178	8.870891269
179	8.863384339
180	8.846625821
181	8.840648721
182	8.833995216
183	8.825978546
184	8.811474654
185	8.802235769
186	8.791186226
187	8.784971872
188	8.781131106
189	8.767954819
190	8.756974532
191	8.754819347
192	8.736843975
193	8.719448055
194	8.714401651
195	8.709058733
196	8.699640058
197	8.694943154
198	8.676089267
199	8.664991449
200	8.650405933
201	8.646744041
202	8.637306035
203	8.630755723
204	8.618232158
205	8.605115203
206	8.601081028
207	8.591638655
208	8.575886612
209	8.563976503
210	8.555472671
211	8.54969309
212	8.53987424
213	8.534210428
214	8.528050608
215	8.521827885
216	8.515698948
217	8.506745774
218	8.503718763
219	8.496789324
220	8.493160364
221	8.486678171
222	8.47619274
223	8.46513419
224	8.456847527
225	8.43465403
226	8.429835303
227	8.424454239
228	8.414935358
229	8.410032828
230	8.406254672
231	8.403238194
232	8.39662012
233	8.386035102
234	8.381450924
235	8.376035953
236	8.364880469
237	8.352359776
238	8.349578793
239	8.341902201
240	8.331605084
241	8.327049161
242	8.316436431
243	8.311620128
244	8.304044725
245	8.290381866
246	8.281172026
247	8.27618576
248	8.266678351
249	8.261656985
250	8.25537193
251	8.250618526
252	8.24729354
253	8.244085177
254	8.232803284
255	8.224124743
256	8.21736571
257	8.210827838
258	8.203386211
259	8.195346523
260	8.189886628
261	8.184826413
262	8.178281277
263	8.171296457
264	8.167118495
265	8.156894239
266	8.14789468
267	8.145192437
268	8.13359033
269	8.111095853
270	8.108792233
271	8.105596104
272	8.102715616
273	8.098098541
274	8.089045046
275	8.085438313
276	8.078281385
277	8.07015836
278	8.064478435
279	8.062697959
280	8.048090501
281	8.041722514
282	8.033845334
283	8.028687121
284	8.024922489
285	8.022326466
286	8.014592916
287	8.007696404
288	8.004022373
289	8.002634932
290	7.998726516
291	7.993310879
292	7.986702169
293	7.981791483
294	7.976102926
295	7.97151976
296	7.966953379
297	7.954067976
298	7.947039446
299	7.93913501
300	7.935097147
301	7.929242232
302	7.92209945
303	7.909353622
304	7.905951155
305	7.903811829
306	7.897995595
307	7.892825788
308	7.882960776
309	7.874623248
310	7.872436264
311	7.868905605
312	7.866332939
313	7.859773
314	7.855610107
315	7.84298909
316	7.835759349
317	7.832733512
318	7.823002143
319	7.818515602
320	7.814931066
321	7.812258242
322	7.804769286
323	7.797896866
324	7.79593574
325	7.793439349
326	7.791437773
327	7.787975263
328	7.784428315
329	7.782602574
330	7.776978109
331	7.775812932
332	7.773514737
333	7.76749444
334	7.763213607
335	7.755970214
336	7.754126358
337	7.750646746
338	7.747033101
339	7.742257743
340	7.738255431
341	7.735754402
342	7.731358569
343	7.727179318
344	7.725090034
345	7.721641415
346	7.718533063
347	7.716910891
348	7.712513314
349	7.710402089
