iter	Passed	Remaining
0	6	2275
1	11	2048
2	16	1911
3	21	1856
4	27	1882
5	32	1846
6	37	1813
7	42	1837
8	47	1818
9	53	1802
10	58	1789
11	63	1784
12	68	1767
13	73	1757
14	78	1751
15	83	1748
16	88	1742
17	94	1751
18	100	1747
19	105	1740
20	111	1744
21	116	1743
22	122	1740
23	128	1743
24	133	1738
25	139	1734
26	144	1730
27	149	1719
28	154	1710
29	160	1707
30	165	1708
31	171	1706
32	177	1702
33	182	1693
34	188	1697
35	194	1692
36	199	1684
37	204	1677
38	210	1676
39	215	1669
40	220	1665
41	226	1662
42	231	1653
43	236	1646
44	242	1642
45	246	1630
46	251	1622
47	257	1618
48	262	1610
49	266	1600
50	272	1597
51	277	1591
52	282	1581
53	287	1575
54	291	1565
55	296	1557
56	301	1549
57	306	1542
58	311	1534
59	316	1528
60	321	1523
61	326	1515
62	330	1507
63	335	1501
64	340	1494
65	345	1488
66	351	1484
67	357	1482
68	362	1475
69	367	1469
70	372	1464
71	377	1458
72	383	1454
73	388	1450
74	393	1443
75	398	1438
76	403	1431
77	408	1425
78	414	1420
79	419	1416
80	424	1410
81	430	1405
82	436	1402
83	440	1396
84	446	1391
85	452	1390
86	459	1387
87	465	1385
88	471	1381
89	476	1375
90	482	1372
91	488	1368
92	493	1364
93	499	1361
94	505	1356
95	510	1352
96	517	1350
97	523	1345
98	529	1342
99	534	1337
100	540	1331
101	546	1328
102	552	1323
103	557	1319
104	563	1315
105	568	1309
106	574	1303
107	579	1298
108	584	1293
109	590	1288
110	596	1284
111	602	1279
112	607	1274
113	612	1268
114	617	1262
115	622	1256
116	628	1251
117	633	1245
118	638	1239
119	644	1234
120	649	1228
121	654	1222
122	659	1217
123	664	1211
124	669	1205
125	675	1200
126	680	1194
127	685	1188
128	690	1182
129	695	1177
130	700	1170
131	705	1164
132	710	1158
133	715	1152
134	720	1146
135	725	1141
136	730	1136
137	735	1130
138	741	1125
139	747	1120
140	751	1114
141	757	1109
142	763	1105
143	768	1100
144	774	1094
145	779	1089
146	784	1083
147	790	1078
148	795	1073
149	800	1066
150	805	1061
151	811	1056
152	816	1051
153	821	1045
154	826	1040
155	831	1034
156	837	1029
157	843	1024
158	848	1019
159	854	1015
160	860	1010
161	866	1005
162	873	1001
163	878	996
164	884	991
165	891	987
166	896	982
167	902	978
168	908	973
169	913	967
170	920	963
171	926	958
172	932	953
173	937	948
174	944	944
175	949	938
176	955	933
177	960	928
178	966	923
179	972	918
180	977	913
181	983	908
182	989	902
183	994	897
184	999	891
185	1005	886
186	1010	881
187	1016	876
188	1021	870
189	1026	864
190	1032	859
191	1037	853
192	1042	848
193	1048	842
194	1053	837
195	1058	831
196	1063	825
197	1068	820
198	1073	814
199	1079	809
200	1084	803
201	1089	798
202	1094	792
203	1099	787
204	1105	781
205	1110	776
206	1116	771
207	1122	766
208	1126	760
209	1132	754
210	1137	749
211	1142	743
212	1148	738
213	1153	732
214	1158	727
215	1163	722
216	1168	716
217	1173	710
218	1179	705
219	1184	699
220	1189	694
221	1194	688
222	1199	683
223	1204	677
224	1209	671
225	1214	666
226	1219	661
227	1225	655
228	1230	650
229	1235	644
230	1241	639
231	1247	634
232	1252	629
233	1258	623
234	1264	618
235	1269	613
236	1274	607
237	1279	602
238	1284	596
239	1290	591
240	1296	586
241	1301	580
242	1307	575
243	1312	570
244	1318	564
245	1323	559
246	1329	554
247	1334	548
248	1340	543
249	1346	538
250	1351	533
251	1357	527
252	1363	522
253	1368	517
254	1374	511
255	1379	506
256	1385	501
257	1391	496
258	1397	491
259	1403	485
260	1408	480
261	1414	475
262	1419	469
263	1425	464
264	1431	459
265	1436	453
266	1442	448
267	1447	442
268	1452	437
269	1457	431
270	1463	426
271	1468	421
272	1474	415
273	1478	410
274	1484	404
275	1490	399
276	1495	394
277	1500	388
278	1505	383
279	1510	377
280	1515	372
281	1520	366
282	1525	361
283	1530	355
284	1535	350
285	1540	344
286	1545	339
287	1551	333
288	1556	328
289	1561	323
290	1567	317
291	1572	312
292	1577	306
293	1583	301
294	1588	296
295	1593	290
296	1599	285
297	1604	279
298	1610	274
299	1616	269
300	1621	263
301	1626	258
302	1631	253
303	1636	247
304	1642	242
305	1647	236
306	1652	231
307	1657	226
308	1663	220
309	1668	215
310	1673	209
311	1678	204
312	1683	198
313	1689	193
314	1694	188
315	1699	182
316	1705	177
317	1709	172
318	1715	166
319	1720	161
320	1725	155
321	1731	150
322	1736	145
323	1742	139
324	1748	134
325	1753	129
326	1758	123
327	1764	118
328	1770	113
329	1776	107
330	1782	102
331	1787	96
332	1792	91
333	1798	86
334	1804	80
335	1809	75
336	1816	70
337	1821	64
338	1828	59
339	1834	53
340	1840	48
341	1845	43
342	1851	37
343	1857	32
344	1862	26
345	1867	21
346	1873	16
347	1878	10
348	1883	5
349	1888	0
